HHID,ORIGIN_OF_TRIP,DESTINATION_OF_TRIP,TT_WALK,WALKABILITY_INDEX,TT_CYCLE,BIKEABILITY_INDEX,TT_PT,FARE_PT,WT_PT,AT_PT,AC_PT,TT_CAR,FC_CAR,PC_CAR,CC_CAR,INCOME,GENDER,AGE,CAR_OWNERSHIP,CHOSEN_MODE,AV_WALK,AV_CYCLE,AV_PT,AV_CAR
1091,9,4,58,15,28,3,52,1,17,22,1,37,1,7,7,34,0,61,0,2,1,1,1,1
1092,8,7,30,32,44,75,17,3,19,30,4,18,3,2,7,55,1,42,1,4,1,1,1,1
1093,9,5,17,85,22,55,19,3,4,14,1,12,2,1,2,52,1,55,0,2,1,1,1,1
1094,4,3,53,47,38,71,33,7,12,18,5,36,2,3,4,36,0,70,1,1,1,1,1,1
1095,4,9,31,28,56,44,22,1,16,28,5,37,3,1,10,16,1,27,0,1,1,1,1,1
1096,1,4,13,1,42,69,17,4,11,14,4,45,2,1,6,23,1,45,0,1,1,1,1,1
1097,3,3,21,58,18,4,17,6,7,6,3,14,3,4,6,32,1,49,0,2,1,1,1,1
1098,1,1,39,44,45,14,31,1,5,15,3,48,3,5,7,15,1,26,1,2,1,1,1,1
1099,5,2,54,62,23,44,26,7,7,26,4,11,3,5,6,60,1,62,0,4,1,1,1,1
1100,3,3,21,21,50,65,59,1,4,7,0,12,1,2,3,30,1,28,1,4,1,1,1,1
1101,8,6,50,1,15,9,56,7,10,22,4,47,2,5,6,26,1,55,0,2,1,1,1,1
1102,4,5,56,12,34,61,43,7,2,14,2,54,2,1,6,10,1,29,1,1,1,1,1,1
1103,4,7,35,66,24,47,25,3,11,16,1,53,3,2,2,42,1,68,0,2,1,1,1,1
1104,2,7,12,95,60,33,46,6,2,29,5,59,1,2,3,65,1,42,0,1,1,1,1,1
1105,7,1,16,46,45,25,60,1,11,24,1,22,1,4,10,60,1,26,0,1,1,1,1,1
1106,1,7,35,20,50,97,45,3,12,24,4,51,2,7,6,90,1,69,1,1,1,1,1,1
1107,9,9,46,75,14,41,25,1,6,11,0,57,3,3,5,80,0,36,1,2,1,1,1,1
1108,5,1,29,58,12,36,10,1,16,6,4,36,3,8,3,85,0,51,0,1,1,1,1,1
1109,4,5,12,34,58,44,32,1,20,16,4,44,3,6,5,28,1,21,0,1,1,1,1,1
1110,2,5,22,40,44,46,19,1,10,10,4,37,3,4,7,27,0,50,0,1,1,1,1,1
1111,8,9,15,14,15,23,43,1,19,14,4,40,2,4,7,69,1,69,1,1,1,1,1,1
1112,6,2,27,67,42,6,46,4,8,7,2,34,3,4,2,42,1,52,0,1,1,1,1,1
1113,2,3,56,16,45,23,50,5,5,8,2,11,2,5,2,41,0,22,1,4,1,1,1,1
1114,8,1,57,82,15,61,20,3,16,16,5,12,1,7,7,82,1,59,1,2,1,1,1,1
1115,3,8,26,99,39,4,13,1,13,10,4,23,3,8,7,51,1,66,0,1,1,1,1,1
1116,1,8,33,85,41,72,38,5,5,8,1,35,2,6,3,80,1,57,0,1,1,1,1,1
1117,5,5,15,4,53,80,50,5,8,18,0,45,2,6,6,12,0,54,1,1,1,1,1,1
1118,8,3,40,93,51,10,23,1,17,22,0,49,3,4,2,59,1,28,1,3,1,1,1,1
1119,7,2,16,64,43,77,60,3,18,10,5,19,2,4,9,38,0,51,1,1,1,1,1,1
1120,6,3,41,36,21,9,59,6,9,17,3,27,3,7,2,19,0,29,0,2,1,1,1,1
1121,1,7,48,92,56,1,29,7,3,25,0,33,1,3,3,13,1,70,0,4,1,1,1,1
1122,6,1,14,46,60,45,39,3,10,29,1,19,3,3,2,18,0,50,1,1,1,1,1,1
1123,5,6,13,93,31,16,37,4,4,28,2,60,2,3,3,14,0,44,0,1,1,1,1,1
1124,5,2,53,29,57,47,21,2,9,16,1,31,1,5,8,15,1,21,0,4,1,1,1,1
1125,9,3,24,81,41,41,32,3,16,5,2,43,1,5,7,24,1,67,0,1,1,1,1,1
1126,2,4,11,48,60,26,35,5,14,14,1,30,3,2,10,70,0,25,1,1,1,1,1,1
1127,3,1,27,74,46,61,43,6,12,13,5,37,3,7,6,30,0,41,1,1,1,1,1,1
1128,5,5,56,14,33,30,57,7,11,10,2,48,2,6,2,34,0,51,1,2,1,1,1,1
1129,5,7,51,65,52,56,26,7,12,23,1,38,1,3,3,72,1,30,1,2,1,1,1,1
1130,4,5,45,94,57,9,27,6,6,16,3,29,3,1,9,86,1,69,1,1,1,1,1,1
1131,5,9,52,99,14,47,28,1,5,15,5,23,1,5,5,90,1,67,0,2,1,1,1,1
1132,3,4,38,65,10,21,54,2,6,9,1,35,3,7,2,17,0,55,0,2,1,1,1,1
1133,1,6,12,82,12,19,33,6,2,23,0,27,2,7,8,22,0,36,0,1,1,1,1,1
1134,4,5,55,19,53,61,43,1,12,12,0,11,3,4,8,15,0,34,1,2,1,1,1,1
1135,8,1,25,39,10,17,56,1,11,29,3,60,1,7,6,51,1,26,0,1,1,1,1,1
1136,2,6,56,68,32,51,48,6,7,19,3,26,2,2,3,94,0,55,1,2,1,1,1,1
1137,1,6,21,62,49,11,55,2,6,12,4,54,2,6,10,70,1,29,0,1,1,1,1,1
1138,2,7,18,94,30,17,57,4,20,6,3,47,3,8,2,90,0,41,0,1,1,1,1,1
1139,2,4,12,61,25,81,10,3,15,24,5,28,3,6,2,32,0,55,1,1,1,1,1,1
1140,8,7,42,15,16,6,14,5,7,6,4,37,3,1,5,70,0,48,1,2,1,1,1,1
1141,8,6,44,88,17,55,52,7,10,16,2,19,1,2,7,43,1,49,1,2,1,1,1,1
1142,1,3,39,19,44,2,24,2,11,29,1,59,3,8,9,46,1,30,0,3,1,1,1,1
1143,2,6,54,1,52,63,11,5,4,13,5,55,3,3,7,39,1,42,0,4,1,1,1,1
1144,7,3,34,2,24,48,32,7,20,17,4,46,3,7,3,95,0,58,1,2,1,1,1,1
1145,5,4,30,91,47,16,33,5,20,5,1,46,3,3,5,38,0,57,0,1,1,1,1,1
1146,1,9,44,66,34,78,42,2,3,12,5,30,1,5,4,82,0,39,0,1,1,1,1,1
1147,9,7,13,4,52,84,31,5,9,9,0,58,1,2,6,39,1,37,0,1,1,1,1,1
1148,1,1,42,34,39,4,58,1,10,14,5,25,3,1,3,74,1,44,1,1,1,1,1,1
1149,4,1,38,28,28,56,59,6,12,24,2,45,3,2,4,66,1,68,1,1,1,1,1,1
1150,4,1,49,38,17,3,25,1,14,27,2,48,1,8,5,64,1,62,0,2,1,1,1,1
1151,5,6,26,9,50,60,40,5,12,29,2,20,2,1,6,81,1,25,0,4,1,1,1,1
1152,5,6,29,70,11,63,57,5,10,29,4,56,1,3,3,68,1,42,1,2,1,1,1,1
1153,3,3,36,100,22,59,52,7,16,25,3,57,2,6,2,80,1,31,0,2,1,1,1,1
1154,9,9,41,6,16,68,12,7,8,9,2,41,2,7,5,74,1,20,0,2,1,1,1,1
1155,2,1,36,86,45,72,11,5,16,13,3,39,1,1,3,29,1,41,1,1,1,1,1,1
1156,7,5,55,69,25,80,42,1,2,25,1,54,1,4,5,19,0,43,0,1,1,1,1,1
1157,7,9,39,46,43,64,46,6,2,16,5,51,2,7,4,10,1,68,1,2,1,1,1,1
1158,5,6,36,36,37,14,15,5,18,11,4,57,2,1,5,65,1,64,1,1,1,1,1,1
1159,9,8,43,19,60,76,28,3,12,7,1,58,2,3,2,87,0,39,1,1,1,1,1,1
1160,5,4,50,10,44,99,20,7,20,30,4,55,1,1,3,25,1,69,1,4,1,1,1,1
1161,1,9,36,37,49,36,57,6,9,19,1,13,2,7,8,34,1,66,0,4,1,1,1,1
1162,2,5,25,96,56,84,40,4,8,16,0,56,1,5,2,22,1,48,1,1,1,1,1,1
1163,4,3,24,57,21,93,36,3,5,7,1,16,2,2,10,84,1,19,1,2,1,1,1,1
1164,1,6,60,73,49,77,57,2,3,20,5,28,1,1,8,47,0,44,0,4,1,1,1,1
1165,8,6,15,36,33,77,35,1,4,21,0,53,3,8,5,26,1,68,0,1,1,1,1,1
1166,7,2,48,51,35,40,11,5,16,13,0,45,3,4,4,53,0,18,0,2,1,1,1,1
1167,2,7,18,19,11,54,10,6,4,11,2,21,1,3,3,80,1,23,1,4,1,1,1,1
1168,8,2,21,32,40,16,24,6,17,9,1,21,3,2,9,61,0,30,1,4,1,1,1,1
1169,5,6,30,50,19,29,22,6,2,18,4,47,1,7,3,45,1,29,0,1,1,1,1,1
1170,2,5,28,61,19,54,34,5,13,7,5,12,1,4,8,36,1,48,1,1,1,1,1,1
1171,1,6,23,81,40,73,30,7,15,15,3,27,1,2,3,15,1,69,0,4,1,1,1,1
1172,2,6,27,90,41,18,49,5,17,26,1,34,2,1,9,24,1,63,0,1,1,1,1,1
1173,9,9,22,31,26,47,58,1,7,19,5,49,3,1,10,88,0,22,1,2,1,1,1,1
1174,7,8,13,84,38,80,34,3,18,16,4,39,1,7,3,93,0,61,0,2,1,1,1,1
1175,1,7,37,56,24,35,33,5,16,19,1,36,3,1,5,63,1,42,1,1,1,1,1,1
1176,7,7,29,5,40,86,41,3,13,7,0,28,2,2,4,78,1,54,0,4,1,1,1,1
1177,1,6,31,79,54,23,23,3,19,14,5,26,1,1,2,12,0,55,1,1,1,1,1,1
1178,2,8,58,94,11,44,22,3,9,6,1,45,3,3,10,58,0,22,0,2,1,1,1,1
1179,8,8,34,51,37,61,44,7,14,25,4,21,2,5,4,12,0,68,1,1,1,1,1,1
1180,7,9,47,33,48,95,13,5,6,7,3,43,2,6,3,19,0,29,0,2,1,1,1,1
1181,1,8,30,73,47,51,36,5,7,9,4,48,3,8,8,89,0,53,0,1,1,1,1,1
1182,3,6,13,25,38,50,27,5,12,9,1,37,2,2,8,77,1,57,1,2,1,1,1,1
1183,7,9,45,60,53,27,55,1,6,23,2,14,1,6,10,87,0,69,0,4,1,1,1,1
1184,5,5,34,45,44,38,32,2,19,19,0,11,2,1,8,60,1,46,1,4,1,1,1,1
1185,9,5,43,16,11,34,50,4,14,5,1,40,3,3,5,67,1,32,0,2,1,1,1,1
1186,3,7,22,55,40,62,45,2,4,22,4,32,3,5,6,20,1,67,0,1,1,1,1,1
1187,4,5,46,67,13,75,58,2,15,10,0,25,2,1,9,49,0,22,0,2,1,1,1,1
1188,9,5,26,14,18,80,11,4,5,30,2,21,2,3,9,27,0,35,0,4,1,1,1,1
1189,2,3,22,29,14,51,21,7,10,21,1,42,3,7,7,88,1,37,0,1,1,1,1,1
1190,1,5,51,80,23,68,18,2,18,18,5,15,2,1,7,93,0,61,1,4,1,1,1,1
1191,7,7,26,47,35,44,54,3,3,12,3,23,3,7,6,69,1,34,0,1,1,1,1,1
1192,9,5,48,81,22,14,46,1,4,7,0,16,2,3,4,80,0,23,0,4,1,1,1,1
1193,9,9,53,31,26,49,16,7,5,11,4,42,1,8,2,21,0,43,0,2,1,1,1,1
1194,7,2,25,31,53,56,48,4,18,10,3,31,3,8,6,23,1,41,0,1,1,1,1,1
1195,5,6,58,22,60,21,42,7,17,8,0,38,3,2,7,82,1,25,1,4,1,1,1,1
1196,1,2,54,61,54,41,52,5,13,7,1,60,2,4,10,16,1,45,0,1,1,1,1,1
1197,3,3,58,19,44,19,58,3,8,7,5,13,3,2,5,54,1,46,0,4,1,1,1,1
1198,2,7,39,9,58,67,52,1,13,14,0,57,3,6,9,83,0,53,1,3,1,1,1,1
1199,7,1,53,84,23,66,17,2,15,17,4,20,3,7,4,100,1,38,0,2,1,1,1,1
1200,1,5,17,75,58,16,12,2,2,12,5,40,3,4,9,61,1,65,0,1,1,1,1,1
1201,9,6,38,25,52,53,23,3,16,28,0,33,1,8,2,59,0,30,0,4,1,1,1,1
1202,5,8,40,31,26,93,56,7,10,30,3,51,1,6,10,24,1,20,1,2,1,1,1,1
1203,7,7,46,64,60,26,24,7,4,15,1,47,1,1,10,26,0,66,1,1,1,1,1,1
1204,9,8,48,8,47,39,55,7,5,26,0,56,1,4,5,42,1,30,0,4,1,1,1,1
1205,1,6,17,65,50,98,50,7,5,18,3,37,2,5,10,61,1,39,0,1,1,1,1,1
1206,5,3,54,97,25,61,17,6,17,30,1,13,1,7,6,29,1,21,0,2,1,1,1,1
1207,8,5,45,2,22,73,50,4,3,22,0,49,1,4,4,96,1,48,1,2,1,1,1,1
1208,1,1,32,10,27,69,60,3,15,18,1,51,1,2,4,34,0,18,1,4,1,1,1,1
1209,9,7,39,92,10,100,34,4,18,28,5,10,2,8,10,99,1,33,0,2,1,1,1,1
1210,4,5,16,7,40,70,25,2,15,20,0,56,2,4,3,16,0,33,1,1,1,1,1,1
1211,3,9,21,64,41,12,45,1,4,25,5,14,1,2,3,12,1,59,0,1,1,1,1,1
1212,4,2,37,78,52,86,41,5,19,29,4,32,2,7,10,94,1,69,1,1,1,1,1,1
1213,9,5,38,26,24,39,54,5,6,21,4,44,1,8,2,18,1,26,1,2,1,1,1,1
1214,3,2,37,46,47,19,27,4,4,24,5,17,1,4,8,99,1,45,0,4,1,1,1,1
1215,4,7,22,60,19,54,15,2,5,12,2,20,1,6,6,92,1,30,0,2,1,1,1,1
1216,2,1,16,57,40,55,25,4,7,18,0,46,2,5,6,62,1,35,1,1,1,1,1,1
1217,2,1,15,35,11,11,14,7,17,10,2,30,3,6,10,51,1,24,1,2,1,1,1,1
1218,4,4,39,63,29,100,36,6,19,17,3,56,2,7,3,25,0,29,1,2,1,1,1,1
1219,8,4,60,26,60,24,15,3,13,10,5,31,2,3,3,97,1,30,0,4,1,1,1,1
1220,8,1,41,37,47,48,35,3,10,23,4,39,1,6,5,68,0,24,0,1,1,1,1,1
1221,5,6,21,94,48,59,32,1,7,15,0,42,2,6,5,52,0,31,1,3,1,1,1,1
1222,9,8,48,88,13,53,40,7,19,14,4,20,3,6,10,24,1,23,0,2,1,1,1,1
1223,5,1,60,97,46,45,60,2,20,9,0,21,2,3,9,60,1,52,0,4,1,1,1,1
1224,4,6,42,30,45,51,35,5,6,24,4,49,3,8,7,43,1,51,0,1,1,1,1,1
1225,6,1,47,11,59,31,14,2,11,28,0,42,3,2,5,26,0,36,0,3,1,1,1,1
1226,9,8,24,28,21,4,43,1,2,17,1,45,1,6,6,65,0,52,0,1,1,1,1,1
1227,5,5,25,21,32,17,55,2,17,10,5,28,3,4,4,66,0,25,0,2,1,1,1,1
1228,2,6,30,71,33,90,32,7,6,16,4,53,2,5,4,58,1,53,0,1,1,1,1,1
1229,5,9,53,30,48,79,30,2,5,18,1,27,1,6,5,70,1,25,0,4,1,1,1,1
1230,9,3,35,29,38,92,52,3,2,8,3,58,1,6,6,20,0,55,1,2,1,1,1,1
1231,9,9,37,70,29,92,19,7,20,19,4,27,3,8,5,36,1,42,0,2,1,1,1,1
1232,3,3,47,96,24,74,29,2,19,6,1,47,1,8,2,93,0,47,0,2,1,1,1,1
1233,9,5,17,40,46,65,19,4,8,10,0,48,2,3,5,88,0,39,0,1,1,1,1,1
1234,5,4,59,77,45,97,48,5,7,24,4,21,2,6,7,33,0,33,0,4,1,1,1,1
1235,4,6,11,77,12,10,17,2,2,18,1,42,1,1,2,83,0,68,0,1,1,1,1,1
1236,9,7,43,45,15,18,28,7,8,8,1,40,3,7,5,44,1,30,1,2,1,1,1,1
1237,9,6,51,91,35,63,13,5,19,12,3,46,1,7,7,40,1,40,0,2,1,1,1,1
1238,9,4,22,33,16,78,54,7,8,19,5,30,2,6,5,95,1,45,0,2,1,1,1,1
1239,1,6,51,29,34,72,56,5,10,20,4,14,2,7,10,26,0,66,0,2,1,1,1,1
1240,5,4,27,81,60,26,27,2,7,6,4,41,2,4,8,11,1,28,0,1,1,1,1,1
1241,3,2,47,33,19,6,55,7,10,30,4,10,3,2,9,88,0,50,1,4,1,1,1,1
1242,8,9,34,60,15,58,16,5,12,6,5,52,3,2,10,92,1,32,1,1,1,1,1,1
1243,4,6,58,66,32,28,34,3,13,10,5,58,1,1,8,22,0,38,0,2,1,1,1,1
1244,9,9,47,10,19,48,34,1,14,27,0,53,3,4,8,16,1,36,1,2,1,1,1,1
1245,4,2,23,53,49,55,34,5,6,9,3,37,1,7,5,25,0,53,0,1,1,1,1,1
1246,4,1,15,3,16,95,18,3,16,24,5,23,1,8,7,82,1,55,1,2,1,1,1,1
1247,4,3,53,94,33,35,40,4,14,12,3,17,2,4,2,37,0,47,0,4,1,1,1,1
1248,9,8,58,74,46,41,24,7,13,16,1,40,2,2,10,22,0,37,0,4,1,1,1,1
1249,5,5,24,40,16,50,35,2,17,27,3,25,3,6,10,23,1,25,1,2,1,1,1,1
1250,7,7,17,91,36,73,27,5,4,30,2,29,2,6,8,27,1,19,1,2,1,1,1,1
1251,3,7,21,52,51,37,59,4,14,10,4,40,2,3,6,55,1,31,0,1,1,1,1,1
1252,3,4,39,35,48,68,16,1,15,13,0,20,2,2,9,90,1,28,1,3,1,1,1,1
1253,8,5,25,10,46,43,14,1,9,5,3,30,1,7,2,65,0,47,0,3,1,1,1,1
1254,6,3,31,87,16,60,25,7,18,7,1,28,2,3,2,15,1,43,1,2,1,1,1,1
1255,4,1,26,15,35,14,22,4,16,12,5,49,1,1,2,55,1,33,1,2,1,1,1,1
1256,7,2,50,30,40,70,14,7,16,28,4,58,3,7,6,68,0,21,0,2,1,1,1,1
1257,6,3,31,41,10,7,40,3,9,14,1,28,2,7,4,52,1,31,0,2,1,1,1,1
1258,8,6,53,41,10,2,60,2,6,27,1,23,3,6,7,66,0,65,1,2,1,1,1,1
1259,8,4,32,32,15,53,14,7,17,22,5,34,3,4,9,68,0,63,0,2,1,1,1,1
1260,4,6,45,67,14,65,39,4,5,10,5,52,2,2,5,52,1,52,1,2,1,1,1,1
1261,9,1,54,49,41,15,58,7,14,13,5,17,1,8,6,14,0,44,0,1,1,1,1,1
1262,8,4,59,70,53,61,40,6,8,11,1,37,1,8,4,43,1,57,0,2,1,1,1,1
1263,9,4,14,45,49,28,30,1,19,8,5,55,3,1,2,46,0,42,1,1,1,1,1,1
1264,2,8,38,26,21,96,45,7,10,8,3,31,1,3,5,59,1,30,1,2,1,1,1,1
1265,5,8,52,58,46,81,45,7,11,8,5,27,1,6,7,71,1,48,0,4,1,1,1,1
1266,6,7,46,56,56,8,27,7,12,6,4,19,2,7,7,35,0,42,1,1,1,1,1,1
1267,6,2,26,18,52,72,25,1,18,6,1,21,1,2,10,25,1,46,0,1,1,1,1,1
1268,6,2,31,20,46,64,28,5,3,5,2,10,1,1,7,38,1,48,0,4,1,1,1,1
1269,5,4,47,71,29,89,15,7,15,20,5,59,2,7,5,55,1,22,0,1,1,1,1,1
1270,9,9,60,6,53,81,26,3,12,18,3,27,1,1,4,55,0,62,0,1,1,1,1,1
1271,9,4,35,66,57,38,37,6,15,9,4,52,1,7,6,15,0,21,1,1,1,1,1,1
1272,5,9,55,62,18,3,29,7,10,15,0,14,3,1,2,99,0,20,1,4,1,1,1,1
1273,5,3,38,85,15,86,37,3,8,8,2,52,3,1,2,93,1,55,0,2,1,1,1,1
1274,6,7,14,67,51,12,16,5,12,16,1,30,1,4,10,48,0,27,1,1,1,1,1,1
1275,4,2,55,6,19,91,44,1,11,21,3,42,3,7,10,56,1,42,0,2,1,1,1,1
1276,7,1,50,38,24,99,10,3,5,29,2,54,3,2,8,22,1,63,0,3,1,1,1,1
1277,6,4,14,94,45,69,50,7,16,24,3,25,3,8,9,26,0,24,0,1,1,1,1,1
1278,3,2,47,15,49,25,17,5,8,17,2,27,3,8,5,34,1,55,0,1,1,1,1,1
1279,1,5,37,36,17,85,22,4,10,19,5,41,3,2,4,71,0,25,0,2,1,1,1,1
1280,8,6,29,61,38,73,39,1,5,26,4,18,1,5,10,95,1,67,0,4,1,1,1,1
1281,8,5,53,41,37,39,15,1,5,27,2,29,2,5,10,86,1,62,0,1,1,1,1,1
1282,1,9,18,10,38,33,54,3,12,18,3,59,1,6,7,64,1,40,1,1,1,1,1,1
1283,5,1,59,19,57,68,22,5,18,14,5,60,3,7,3,39,0,61,1,2,1,1,1,1
1284,5,8,10,37,31,90,44,3,20,7,0,45,2,3,5,34,0,53,0,1,1,1,1,1
1285,9,6,22,28,38,91,34,3,4,12,1,25,2,5,10,70,1,39,1,1,1,1,1,1
1286,8,5,37,79,18,50,58,1,11,10,0,54,1,1,9,29,1,25,1,2,1,1,1,1
1287,7,9,54,69,58,18,11,1,20,13,4,48,3,2,5,53,1,24,0,2,1,1,1,1
1288,3,3,36,66,32,51,51,3,11,30,0,12,2,4,3,73,0,40,1,4,1,1,1,1
1289,1,6,34,6,39,26,22,6,14,24,4,26,3,2,8,77,1,53,0,4,1,1,1,1
1290,3,9,49,48,45,77,37,1,15,25,5,22,2,2,10,82,1,33,0,2,1,1,1,1
1291,6,1,48,44,41,48,10,1,15,25,4,14,2,6,10,58,0,41,1,2,1,1,1,1
1292,9,4,18,79,12,33,38,5,19,26,1,56,1,6,9,77,0,43,1,1,1,1,1,1
1293,1,2,49,72,23,84,60,1,3,12,3,56,2,8,8,63,0,60,1,2,1,1,1,1
1294,9,8,17,54,24,98,46,1,8,30,1,31,3,2,2,16,0,40,1,2,1,1,1,1
1295,3,6,56,22,19,72,20,1,16,26,1,28,1,7,8,19,1,21,1,2,1,1,1,1
1296,1,5,58,72,33,59,41,1,19,18,0,49,3,2,9,41,0,43,0,1,1,1,1,1
1297,4,3,56,18,56,94,23,4,12,19,2,40,2,8,3,61,1,52,0,2,1,1,1,1
1298,4,3,19,78,33,9,53,4,16,14,4,49,3,1,9,92,1,48,0,1,1,1,1,1
1299,4,7,55,10,48,53,48,3,19,14,3,24,2,1,7,69,1,52,0,2,1,1,1,1
1300,9,4,30,52,43,85,56,5,2,22,5,48,2,1,6,15,0,45,0,1,1,1,1,1
1301,5,9,60,26,20,100,14,6,5,30,2,35,3,6,3,81,1,31,1,2,1,1,1,1
1302,9,2,14,39,57,31,36,4,3,20,5,35,3,7,3,37,1,27,1,1,1,1,1,1
1303,4,3,37,74,37,69,18,5,3,8,4,38,3,4,6,35,0,66,0,2,1,1,1,1
1304,6,7,37,42,28,63,29,2,10,26,3,47,1,2,3,37,1,37,1,4,1,1,1,1
1305,6,2,43,2,21,32,33,2,16,7,1,15,3,8,10,96,0,49,0,3,1,1,1,1
1306,7,7,41,90,50,68,38,2,7,25,5,57,1,2,7,27,1,45,1,2,1,1,1,1
1307,7,5,34,16,28,83,50,1,7,14,2,31,3,8,2,86,0,27,0,1,1,1,1,1
1308,5,7,55,29,53,76,31,7,9,7,1,44,3,6,10,23,1,31,1,2,1,1,1,1
1309,6,1,52,11,52,99,24,4,7,5,5,48,3,7,5,40,0,27,1,2,1,1,1,1
1310,4,3,56,36,39,82,43,1,11,22,3,18,1,8,2,57,0,30,0,4,1,1,1,1
1311,5,4,13,73,51,72,29,2,19,24,0,32,3,1,4,53,0,24,1,1,1,1,1,1
1312,3,9,12,77,11,50,52,1,2,9,4,57,3,6,2,72,0,61,0,2,1,1,1,1
1313,4,2,17,62,14,52,36,4,19,8,0,41,3,5,7,60,1,61,1,2,1,1,1,1
1314,1,7,46,48,43,55,37,6,17,24,2,36,1,2,9,38,0,41,0,4,1,1,1,1
1315,9,9,48,24,18,50,55,1,4,28,3,45,1,5,3,20,1,49,0,4,1,1,1,1
1316,1,1,39,40,11,87,22,2,3,16,5,48,3,4,6,100,0,66,1,2,1,1,1,1
1317,8,3,11,5,27,22,38,2,3,25,5,10,3,2,7,73,0,43,1,4,1,1,1,1
1318,8,5,48,75,48,20,13,2,9,20,5,42,1,4,8,33,0,70,1,1,1,1,1,1
1319,1,6,13,32,44,30,48,2,20,16,3,34,3,1,2,34,1,52,1,1,1,1,1,1
1320,7,7,30,64,16,53,15,4,14,6,2,10,2,5,3,65,1,53,1,4,1,1,1,1
1321,2,4,25,25,37,69,33,4,16,10,3,56,3,7,4,95,0,58,1,1,1,1,1,1
1322,8,3,13,12,22,89,56,1,9,24,1,34,1,8,3,54,1,40,1,1,1,1,1,1
1323,7,6,36,22,48,60,20,7,3,16,4,25,1,3,5,24,1,27,0,4,1,1,1,1
1324,1,7,53,42,50,62,47,1,19,29,4,35,1,7,5,95,1,51,1,4,1,1,1,1
1325,7,6,26,59,31,85,37,1,19,6,4,53,1,7,6,38,0,65,0,1,1,1,1,1
1326,5,9,37,25,56,7,57,5,10,13,2,18,2,2,3,65,0,28,1,4,1,1,1,1
1327,3,8,27,68,15,73,30,7,16,25,5,59,3,8,4,88,1,28,1,1,1,1,1,1
1328,7,1,18,16,46,76,52,7,14,5,5,48,3,2,7,13,1,61,0,1,1,1,1,1
1329,1,6,21,37,42,45,10,1,15,18,2,34,1,1,8,85,1,66,1,1,1,1,1,1
1330,9,4,49,4,34,16,35,4,20,16,4,46,3,2,3,85,0,37,0,1,1,1,1,1
1331,8,9,21,72,52,83,51,2,12,25,0,23,3,4,4,72,0,26,1,4,1,1,1,1
1332,9,9,43,99,34,11,37,1,8,22,2,18,3,6,5,34,1,23,1,1,1,1,1,1
1333,1,2,22,46,11,51,41,6,6,18,2,41,1,8,3,88,0,69,1,1,1,1,1,1
1334,5,4,27,64,59,88,44,6,2,12,0,13,2,7,10,12,1,66,1,2,1,1,1,1
1335,1,2,34,95,19,32,13,5,15,6,4,11,3,2,10,80,0,54,0,1,1,1,1,1
1336,9,5,14,48,44,72,54,3,12,23,1,56,1,7,2,18,0,64,1,1,1,1,1,1
1337,9,5,33,36,46,52,30,1,20,11,5,60,1,5,7,24,0,44,1,1,1,1,1,1
1338,7,4,52,28,12,95,13,3,4,30,1,55,3,5,7,59,1,64,0,2,1,1,1,1
1339,3,9,36,36,17,27,57,2,4,22,2,53,2,7,8,23,1,69,0,2,1,1,1,1
1340,4,5,34,70,31,88,50,1,8,16,2,25,1,3,10,86,0,54,1,4,1,1,1,1
1341,7,8,18,7,14,29,51,6,3,10,3,28,3,5,8,100,1,45,0,2,1,1,1,1
1342,6,4,34,1,12,78,55,2,10,7,5,48,2,1,4,88,1,58,0,2,1,1,1,1
1343,9,3,51,40,45,87,49,5,11,17,1,46,2,4,6,20,0,43,1,2,1,1,1,1
1344,4,6,59,29,55,43,10,1,6,28,4,43,3,5,4,62,0,20,0,3,1,1,1,1
1345,8,3,40,10,28,39,33,7,11,26,4,25,1,4,7,10,1,41,0,2,1,1,1,1
1346,3,6,15,74,48,37,43,1,8,29,4,37,3,4,10,20,1,42,0,2,1,1,1,1
1347,6,1,54,49,14,97,12,7,18,7,1,59,2,5,4,77,1,58,0,2,1,1,1,1
1348,5,1,20,87,31,63,56,5,15,29,1,12,3,7,8,65,1,57,1,1,1,1,1,1
1349,8,7,41,99,18,82,21,7,12,19,1,35,2,2,8,76,1,64,0,2,1,1,1,1
1350,2,4,54,53,39,76,17,7,15,27,0,31,3,6,9,36,1,44,1,2,1,1,1,1
1351,5,6,22,43,48,48,38,6,11,16,0,43,2,6,3,59,0,32,0,1,1,1,1,1
1352,2,8,28,45,23,82,20,2,9,27,5,40,1,3,5,68,0,44,1,1,1,1,1,1
1353,6,4,13,6,20,40,58,4,5,15,5,53,2,3,2,100,0,30,1,1,1,1,1,1
1354,2,8,32,40,29,23,42,4,6,27,5,37,3,3,6,77,0,34,1,1,1,1,1,1
1355,5,4,50,50,56,92,52,5,10,12,0,10,1,2,4,57,0,26,0,4,1,1,1,1
1356,3,9,17,40,57,22,22,1,20,11,3,46,1,4,8,12,0,62,1,1,1,1,1,1
1357,5,2,35,76,12,12,14,3,5,30,0,50,1,2,5,64,1,57,0,2,1,1,1,1
1358,8,4,13,37,37,93,19,4,15,19,2,26,1,2,8,23,0,30,1,1,1,1,1,1
1359,8,8,19,91,11,53,45,6,20,20,3,22,2,8,6,12,0,70,0,2,1,1,1,1
1360,2,5,12,79,24,70,57,2,16,18,1,54,1,4,2,36,0,46,0,2,1,1,1,1
